name,elo_Hard,elo_Clay,elo_Grass,matches_Hard,matches_Clay,matches_Grass,elo_overall
Jannik Sinner,2213.9128828459184,1832.1959310587183,1721.2376236707678,245,78,30,2087.6970754389604
Novak Djokovic,2108.466193814052,2026.777276006671,2013.4183494676283,848,361,141,2072.178098723592
Roger Federer,2053.4907477922184,1940.6608916721525,1949.6367105205773,953,300,223,2004.725424611156
Juan Martin del Potro,2018.4166769193585,1857.979118328556,1751.3122858675094,433,122,58,1955.9693368404771
Carlos Alcaraz,1961.0721297502712,1971.6198277969725,1787.9204759032652,139,99,27,1947.370723911608
Rafael Nadal,1895.5100719603413,2029.3859417409749,1828.651266450899,680,541,97,1942.6632302296596
Robin Soderling,1996.0964103590927,1949.781884930048,1669.3242220515774,273,138,43,1934.519933705278
Alexander Zverev,1969.1294203213208,1915.685864325459,1683.7131099490766,398,206,59,1927.124993704262
Daniil Medvedev,1905.0867345780327,1729.834537124222,1720.8105267521476,399,70,68,1858.9071517960456
Pete Sampras,1907.1963774730675,1652.0939917571304,1835.9454569637944,428,131,102,1851.0539566074176
Taylor Fritz,1894.219739838723,1750.4641048635945,1666.9192990586585,331,89,56,1840.5998318629452
Andre Agassi,1869.8788476405289,1778.121016172983,1696.147568851552,598,123,62,1835.8947188903912
Grigor Dimitrov,1896.8474293577592,1743.3351707816014,1635.3717455909325,502,172,80,1833.2444425387632
Nick Kyrgios,1894.5085091462645,1671.4737064257513,1738.110040030932,220,51,57,1832.6503150050448
Patrick Rafter,1875.4555271501245,1666.7976341549845,1809.782393360765,318,70,99,1811.152302023249
Alex De Minaur,1843.241394431076,1714.400409316955,1696.6451183874346,297,62,51,1805.5229769791213
Andy Roddick,1834.6679154946155,1655.2443323953237,1799.8309682064842,564,119,109,1797.4891432742195
Milos Raonic,1801.4083793924055,1799.701419389408,1737.2850340940472,399,104,81,1792.2105800611064
Stefanos Tsitsipas,1753.108015901062,1924.907479048568,1580.72899991156,320,153,39,1791.3160944908625
Holger Rune,1824.2320391226028,1778.5743448673195,1580.7635248964716,136,75,17,1791.0597066182588
Tomas Berdych,1792.0871448275109,1804.8121526166487,1745.7015926068668,620,248,99,1787.6206973059868
David Nalbandian,1805.0101588147493,1787.4068473389425,1679.369249480571,286,209,45,1783.078867028165
Karen Khachanov,1797.7270017096946,1795.6155039431674,1592.9020613996786,324,118,39,1780.6015767439133
Casper Ruud,1692.5880419601851,1880.4001885809328,1475.889918776268,186,199,12,1780.1805852834136
Matteo Berrettini,1716.5418172442196,1885.968511112252,1764.4384735605713,151,85,53,1775.1570136578853
Kei Nishikori,1774.985528562879,1815.496892728089,1679.8811811445744,443,156,71,1773.9309512372608
Hubert Hurkacz,1800.6551742862175,1727.7343452659893,1655.987734854974,245,66,39,1770.7843032772073
Boris Becker,1714.2134770417615,1772.3199367495424,1723.3792168402765,126,76,57,1764.274678033045
Mario Ancic,1801.5535052264552,1738.7571200604073,1753.3008686985677,192,61,53,1760.9680838978363
Tommy Paul,1802.0895042875247,1634.194709491119,1684.555662748969,212,52,36,1758.883678871521
Jack Draper,1826.0854918534951,1560.3069605160556,1619.295069816694,88,20,22,1750.2011848415073
Andrey Rublev,1747.820605645372,1773.420406652293,1655.6221535864208,374,118,29,1748.4866736091092
Sebastian Korda,1805.7245035573685,1591.8550873362776,1640.6160043574002,139,42,25,1742.0826202501598
Ugo Humbert,1842.0876925229063,1468.243385265755,1574.1612799392456,182,44,45,1736.9000981111742
Fernando Gonzalez,1701.8972606572931,1808.6923706781504,1621.1463665777208,272,240,37,1736.353172109515
Tomas Machac,1776.2023525827165,1621.8444999718631,1458.227237841361,65,21,4,1726.0532929850128
Pablo Carreno Busta,1729.2915233957317,1745.5851944324588,1475.0261573399396,276,203,20,1725.7290141759718
Marcelo Rios,1791.6519816147138,1691.0125604574114,1525.777918591871,264,262,12,1725.5069096908671
Frances Tiafoe,1763.751150431908,1608.7094560404455,1582.4992935304842,286,73,41,1716.8777258730704
Ben Shelton,1790.0993638097784,1537.5071482764629,1485.523940543021,89,21,13,1714.782965202726
Richard Krajicek,1708.911619899902,1693.57473605467,1707.798695618137,259,124,82,1713.928084905393
Mardy Fish,1726.7882875848857,1645.2883319387188,1724.5634220368725,378,65,72,1710.9113845429065
Michael Stich,1664.5008418007135,1778.632483726776,1726.2156358986003,111,114,54,1710.8062732465382
Nicolas Escude,1799.9426526660045,1562.8124494487645,1649.6765831973062,162,53,37,1709.8795130090537
Juan Carlos Ferrero,1677.4939149775057,1752.7699539900902,1661.1721215372368,312,349,49,1705.8850199417936
David Ferrer,1689.591348440358,1742.519785332185,1620.3923161924422,551,478,70,1704.99015597748
Lorenzo Musetti,1658.680501244955,1771.9968869981487,1655.5822184986278,122,95,28,1702.265418508858
Stefan Edberg,1711.7280659080016,1716.8110615347491,1647.0492670001984,181,92,35,1700.6337882378707
Gael Monfils,1766.5508453540033,1568.4422373626464,1600.876653344843,585,234,80,1698.772066519475
Alexei Popyrin,1777.7683058281202,1553.382322025634,1448.1484387583669,142,44,20,1697.8392736499432
Ivan Ljubicic,1684.1433053971627,1749.412151502963,1533.586622921326,411,188,50,1697.275502303008
Yevgeny Kafelnikov,1665.9180673690837,1655.6302403537686,1673.212181049768,384,244,66,1695.5455255729396
Alexandr Dolgopolov,1710.7095970033995,1696.0489252231414,1575.0866151195055,254,126,43,1692.5558550050073
Denis Shapovalov,1727.722203567845,1631.1504925588904,1554.5177804865446,271,69,41,1691.5940423973698
Nicolas Almagro,1626.966623307821,1737.0871956129042,1529.4056584916475,215,428,30,1691.1762951970472
Francisco Cerundolo,1637.4427448212066,1754.9797543798336,1521.3591885957876,75,100,15,1690.1398375184772
Mariano Puerta,1519.4205858868115,1751.027035677433,1452.0625659758423,46,185,4,1689.7122631767834
Cameron Norrie,1703.2472931023644,1697.81240263348,1593.0295205775135,225,99,41,1689.3925456230809
Tim Henman,1671.729165287892,1677.5915014456432,1719.7204612689284,425,119,119,1688.042196541565
Nicolas Kiefer,1711.9031230999924,1649.1672423906844,1616.1612524788404,376,126,74,1683.7626146555542
Juan Monaco,1660.8875426473403,1711.8032075392352,1486.6976593882098,207,380,18,1683.4739940239178
Jo-Wilfried Tsonga,1689.2731022224118,1648.7068175191791,1727.6423115359228,476,149,77,1683.1492915410695
Andy Murray,1620.1934987003576,1869.483827121128,1766.5355236889568,691,164,151,1681.6838024444082
Marin Cilic,1633.7425375688892,1742.3283803061925,1793.5052087166273,582,228,114,1678.4729762854702
Jordan Thompson,1747.724027439625,1456.771296734387,1609.3443081577088,197,44,60,1677.6087340577462
Jenson Brooksby,1730.5167183841347,1503.2787414856912,1513.58430990884,60,7,12,1677.4299495234684
Felix Auger Aliassime,1658.547980583126,1748.388082346835,1608.292831891141,238,90,36,1675.7909031265942
Jiri Novak,1736.4853962968566,1638.0170628714102,1551.370028776256,272,227,35,1675.779873097387
Magnus Gustafsson,1668.5399138607354,1665.4024962775402,1526.725119730654,105,232,29,1675.6145727346811
Roberto Bautista Agut,1688.2416954687517,1634.886728079832,1684.1972430412743,444,173,76,1674.4786539928912
Marat Safin,1679.221793055772,1637.1345971748417,1690.5100543077438,358,203,45,1672.2959209130536
David Goffin,1712.170431609154,1590.0190277339314,1629.251889610223,387,160,56,1672.0582210420305
