Torneio,Jogador 1,Jogador 2,Vencedor Previsto,Confiança,ELO Diff,H2H,Odd 1,Odd 2
Wimbledon,Taylor Fritz,Carlos Alcaraz,Carlos Alcaraz,74.5,-8.6,0-2 (0% para Taylor Fritz),5.02,1.17
Wimbledon,Jannik Sinner,Novak Djokovic,Novak Djokovic,81.9,-371.7,4-4 (50% para Jannik Sinner),1.44,2.79
Newport challenger,Mitchell Krueger,Antoine Ghibaudo,Mitchell Krueger,74.7,-11.3,Igual (sem confrontos anteriores),1.36,2.96
Newport challenger,Brandon Holt,Zachary Svajda,Zachary Svajda,69.6,-56.7,1-5 (17% para Brandon Holt),1.94,1.78
Newport challenger,Tyler Zink,Adrian Mannarino,Adrian Mannarino,87.8,-147.0,Igual (sem confrontos anteriores),6.4,1.1
Newport challenger,Christopher Eubanks,Bernard Tomic,Christopher Eubanks,54.2,-15.9,Igual (sem confrontos anteriores),1.74,1.99
Newport challenger,Oscar Weightman,Yosuke Watanuki,Yosuke Watanuki,65.5,-65.0,Igual (sem confrontos anteriores),10.15,1.04
Braunschweig challenger,Filip Misolic,Mariano Navone,Mariano Navone,78.7,-218.3,0-1 (0% para Filip Misolic),2.17,1.63
Iasi challenger,Stan Wawrinka,Radu Albot,Stan Wawrinka,56.5,93.3,Igual (sem confrontos anteriores),1.31,3.21
Trieste challenger,Sumit Nagal,Maxim Mrva,Sumit Nagal,86.8,368.3,Igual (sem confrontos anteriores),1.69,2.08
Trieste challenger,Matej Dodig,Lukas Neumayer,Lukas Neumayer,57.9,-25.3,Igual (sem confrontos anteriores),2.03,1.71
