Shanghai Masters — 20251001, Hard
Beijing — 20250925, Hard
Tokyo — 20250924, Hard
Hangzhou — 20250917, Hard
Chengdu —  20250917, Hard
Winston-Salem — 20250817, Hard  
Canada Masters — 20250726, Hard  
Gstaad — 20250714, Clay  
Los Cabos — 20250714, Hard  
Bastad — 20250714, Clay  
Eastbourne — 20250623, Grass  
Mallorca — 20250623, Grass  
Queen’s-Club — 20250616, Grass  
Halle — 20250616, Grass  
Stuttgart — 20250609, Grass  
’s-Hertogenbosch — 20250609, Grass  
Roland-Garros — 20250525, Clay  
Geneva — 20250518, Clay  
Hamburg — 20250518, Clay  
Rome Masters — 20250505, Clay  
Madrid Masters — 20250428, Clay  
Munich — 20250420, Clay  
Barcelona — 20250421, Clay  
Monte-Carlo Masters — 20250406, Clay  
Houston — 20250405, Clay  
Marrakech — 20250224, Clay  
Bucharest — 20250331, Clay  
Miami Masters — 20250318, Hard  
Indian-Wells Masters — 20250303, Hard  
Dubai — 20250217, Hard  
Acapulco — 20250225, Hard  
Santiago — 20250224, Clay  
Doha — 20250203, Hard  
Rio de Janeiro — 20250217, Clay  
Delray Beach — 20250219, Hard  
Marseille — 20250210, Hard  
Buenos Aires — 20250203, Clay  
Dallas — 20250203, Hard  
Rotterdam — 20250210, Hard  
Montpellier — 20250202, Hard  
Australian Open — 20250120, Hard  
Adelaide — 20250106, Hard  
Auckland — 20250106, Hard
